grupa;CA;CAF;CAS;CD;CO;CS;CSD;CU;DAL;FE;FE2;GA;HG;K;MG;MN;MSE;NA;NI;SEP;SR;TPO;ZN
1;0.0;0.0;0.0;0.0;8.6634349030467;0.0;0.0;0.0;0.0;10.8476454293625;0.0;0.0;0.0;0.0;9.030470914127001;13.317174515235001;0.0;0.0;3.96121883656508;0.0;0.0;0.0;121.48891966769499
2;11.666666666664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.861111111111;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9798994974874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.71859296482
4;0.0;0.0;0.0;0.9857904085258;0.0;0.0;0.0;4.9644760213144;0.0;10.6287744227357;0.0;0.0;0.0;0.0;14.738898756654;7.7158081705152;0.0;0.0;0.0;0.0;0.0;0.0;3.836589698048
5;2.655172413792;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7126436781609999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;41.217415730345;0.0;0.0;4.941011235955;24.101123595505;0.0;12.96348314606748;17.9393258426967;31.92808988764032;21.7898876404495;7.95955056179776;0.0;0.0;0.0;28.569101123607;45.9286516853928;0.0;2.8719101123595;44.1404494382025;0.0;0.0;0.0;335.24494381996794
7;450.74016100194;0.0;0.0;6.93112701252237;79.0800536672631;0.0;4.988819320214651;6.99060822898032;6.98747763864045;42.4807692307674;10.95572450805008;0.0;0.0;0.0;83.797406082251;192.40384615387;0.0;53.695885509840004;59.9906082289797;0.0;0.0;0.0;589.69588550967
8;78.582669322703;0.0;0.0;0.0;0.0;0.0;0.0;0.99601593625498;0.0;0.0;0.0;0.0;0.0;0.0;11.348605577682;9.02390438247;0.0;18.110557768924;1.9760956175298;0.0;0.0;0.0;33.283864541819
9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0023696682490004
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.427536231885
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.441944194422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.204320432052
13;576.1151079138;0.0;0.0;2.99568345323742;6.93956834532374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.266187050328;116.109352518012;0.0;57.664748201439195;10.8733812949641;0.0;0.0;0.0;142.96402877705998
14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.750000000008999
15;3.882352941175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1647058823539997
16;266.62986198238804;0.0;0.0;7.92639063153496;89.7682977833568;0.0;4.98954412379755;13.95901296528648;4.99163529903805;48.4056879966548;10.953994144709329;0.0;0.0;0.0;80.05646173150501;169.870765370229;0.0;30.7419489753248;52.1798410706812;0.0;0.0;0.0;597.319949811726
17;10.342298288508;0.0;0.0;1.9559902200488;0.0;0.0;2.98533007334964;1.99266503667482;3.98044009779952;2.9559902200488;0.99755501222494;0.0;0.0;0.0;0.9523227383863;0.0;0.0;0.0;0.9853300733496;0.0;0.0;0.0;65.941320293345
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.96;0.0;0.0;0.0;0.0;0.0;0.0;2.8000000000000003
19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9055118110236;0.9763779527559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.0;10.1658767772507;0.0;0.0;2.97156398104266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6208530805688;0.0;0.0;0.0;0.0;0.0;0.0;0.0
